"Topic","Keywords"
-1,"[""verbesserung"",""unterstützen"",""bevölkerung"",""zugang"",""sozial"",""finanzierung"",""wirtschaftlich"",""leisten"",""kind"",""nachhaltig""]"
0,"[""bevölkerung"",""verbesserung"",""nachhaltig"",""ländlich"",""infrastruktur"",""wasser"",""finanzieren"",""leisten"",""stadt"",""lokal""]"
1,"[""nachhaltig"",""natürlich"",""ressource"",""biodiversität"",""schutz"",""schutzgebiet"",""bevölkerung"",""management"",""nationalpark"",""unterstützen""]"
2,"[""energie"",""erneuerbar"",""investition"",""energieeffizienz"",""strom"",""leisten"",""finanzierung"",""nachhaltig"",""privat"",""stromversorgung""]"
3,"[""kkmu"",""fond"",""unternehmen"",""fonds"",""bank"",""privat"",""finanzdienstleistung"",""kredit"",""mittlerer"",""unterstützen""]"
4,"[""flüchtling"",""syrisch"",""libanon"",""palästinensisch"",""gemeinde"",""syrien"",""aufnehmend"",""flüchtlingslager"",""sozial"",""unrwa""]"
5,"[""ausbildung"",""berufsschule"",""beruflich"",""berufsbildung"",""schule"",""jung"",""qualität"",""verbessern"",""qualifiziert"",""bildung""]"
6,"[""reproduktiv"",""gesundheit"",""eac"",""sexuell"",""hiv"",""familienplanung"",""frau"",""bevölkerung"",""gavi"",""epidemie""]"
7,"[""krankenhaus"",""medizinisch"",""gerät"",""hospital"",""health"",""gesundheitssektor"",""diagnose"",""ausstattung"",""patient"",""hsjf""]"
8,"[""libanesisch"",""formal"",""kind"",""zugang"",""education"",""schuljahr"",""unicef"",""schulbildung"",""race"",""libanon""]"
9,"[""polio"",""nigeria"",""who"",""eradication"",""ausrottung"",""virus"",""nigerianisch"",""pakistan"",""übertragung"",""unicef""]"
