"Dominant_Topic","Percentage_Contribution","Topic_Keywords","Project_ID","Project_Title","Project_Status","Focus_Area","Sector","Subector","Region"
1,0.5090000033,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",5060,"KV-Abwasserentsorgung Salfeet","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
8,0.4959999919,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",15891,"Abwasserentsorgung Gaza-Mitte","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
1,0.9835000038,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",16278,"Abwasserentsorgung Nablus-West","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14022 - Sanitärversorgung und Abwassermanagement -g","Nordafrika/Naher Osten"
3,0.9911999702,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",16375,"Kleine und mittlere Bewässerungsperimeter (PMH III)","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Nordafrika/Naher Osten"
7,0.986800015,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",18626,"Zinsverbilligungsfonds für Südosteuropa","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Europa/Kaukasus"
0,0.9886000156,"0.013*\"gesundheit\" + 0.012*\"reproduktiv\" + 0.011*\"bevölkerung\" + 0.010*\"hiv\" + 0.006*\"sexuell\" + 0.006*\"regional\" + 0.005*\"komponente\" + 0.005*\"familienplanung\" + 0.005*\"region\" + 0.004*\"frau\"",18755,"Distriktgesundheitsversorgung Mtwara Region Phase II","abgeschlossen","Gesundheit","120 - Gesundheitswesen","12230 - Infrastruktur im Bereich Basisgesundheit","Afrika Subsahara"
1,0.9241999984,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",18936,"Nationales Bewässerungsprogramm SIRIC II","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Lateinamerika"
7,0.8654999733,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",18981,"KV-Wasserverlustreduzierung nördliche Gouvernorate","abgeschlossen","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
5,0.7376999855,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",19048,"Erneuerbare Energien Galapagos - Investition -","aktiv","Umwelt und Klima","""230 - Energieerzeugung, -verteilung und -effizienz""","23410 - Hybridkraftwerke (RE u. nicht RE)","Lateinamerika"
5,0.3925999999,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",19209,"Trinkwasserver- und Abwasserentsorgung Granada","abgeschlossen","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers""","Lateinamerika"
