"Topic","Keywords"
-1,"[""verbesserung"",""finanzierung"",""leisten"",""unterstützen"",""bevölkerung"",""finanzieren"",""öffentlich"",""nachhaltig"",""entwicklung"",""umsetzung""]"
0,"[""bevölkerung"",""energie"",""nachhaltig"",""investition"",""stadt"",""erneuerbar"",""leisten"",""finanzierung"",""verbesserung"",""finanzieren""]"
1,"[""kkmu"",""ländlich"",""fond"",""zugang"",""unterstützen"",""unternehmen"",""nachhaltig"",""fonds"",""bevölkerung"",""lokal""]"
2,"[""nachhaltig"",""biodiversität"",""natürlich"",""ressource"",""schutzgebiet"",""schutz"",""bevölkerung"",""management"",""nationalpark"",""erhalt""]"
3,"[""flüchtling"",""syrisch"",""palästinensisch"",""libanon"",""gemeinde"",""syrien"",""aufnehmend"",""sozial"",""infrastruktur"",""verbesserung""]"
4,"[""ausbildung"",""beruflich"",""bildung"",""jugendlich"",""kind"",""berufsschule"",""jung"",""qualitativ"",""schule"",""berufsbildung""]"
5,"[""reproduktiv"",""eac"",""gesundheit"",""gavi"",""hiv"",""bevölkerung"",""familienplanung"",""sexuell"",""epidemie"",""ebola""]"
6,"[""krankenhaus"",""medizinisch"",""gerät"",""hospital"",""ausstattung"",""gesundheitssektor"",""patient"",""diagnose"",""oblast"",""kind""]"
7,"[""libanesisch"",""formal"",""kind"",""zugang"",""education"",""schuljahr"",""unicef"",""schulbildung"",""race"",""libanon""]"
8,"[""himare"",""gemeinde"",""krankenhaus"",""ukraine"",""bereich"",""beratung"",""innen"",""babban"",""tablets"",""gona""]"
9,"[""polio"",""nigeria"",""who"",""eradication"",""ausrottung"",""virus"",""nigerianisch"",""pakistan"",""übertragung"",""unicef""]"
